Date : 2026-03-24 16:19:31
Directory : c:\Users\HP\Desktop\project\Project 2
Total : 118 files,  26924 codes, 40 comments, 402 blanks, all 27366 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         11 |     21,257 |          0 |         11 |     21,268 |
| TypeScript         |         40 |      2,102 |          7 |        176 |      2,285 |
| JavaScript         |         40 |      2,093 |         10 |         43 |      2,146 |
| TypeScript JSX     |         15 |      1,238 |         23 |        152 |      1,413 |
| PostCSS            |          1 |        124 |          0 |          5 |        129 |
| JSON with Comments |          5 |         82 |          0 |          1 |         83 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                       |        118 |     26,924 |         40 |        402 |     27,366 |
| frontend                                                                                |         31 |     13,144 |         26 |        189 |     13,359 |
| frontend (Files)                                                                        |          8 |     11,749 |          3 |         26 |     11,778 |
| frontend\public                                                                         |          5 |          5 |          0 |          0 |          5 |
| frontend\src                                                                            |         18 |      1,390 |         23 |        163 |      1,576 |
| frontend\src (Files)                                                                    |          1 |         23 |          0 |          4 |         27 |
| frontend\src\app                                                                        |          3 |        161 |          0 |          9 |        170 |
| frontend\src\components                                                                 |         13 |      1,201 |         23 |        148 |      1,372 |
| frontend\src\components (Files)                                                         |          1 |        150 |         13 |         36 |        199 |
| frontend\src\components\ui                                                              |         12 |      1,051 |         10 |        112 |      1,173 |
| frontend\src\lib                                                                        |          1 |          5 |          0 |          2 |          7 |
| services                                                                                |         87 |     13,780 |         14 |        213 |     14,007 |
| services\auth                                                                           |         25 |      3,448 |          8 |         59 |      3,515 |
| services\auth (Files)                                                                   |          3 |      2,496 |          0 |          2 |      2,498 |
| services\auth\dist                                                                      |         11 |        474 |          5 |         11 |        490 |
| services\auth\dist (Files)                                                              |          3 |        126 |          2 |          3 |        131 |
| services\auth\dist\controllers                                                          |          1 |        135 |          3 |          1 |        139 |
| services\auth\dist\middleware                                                           |          1 |          4 |          0 |          1 |          5 |
| services\auth\dist\routes                                                               |          1 |          9 |          0 |          1 |         10 |
| services\auth\dist\utils                                                                |          5 |        200 |          0 |          5 |        205 |
| services\auth\src                                                                       |         11 |        478 |          3 |         46 |        527 |
| services\auth\src (Files)                                                               |          3 |        128 |          0 |         22 |        150 |
| services\auth\src\controllers                                                           |          1 |        138 |          3 |         19 |        160 |
| services\auth\src\middleware                                                            |          1 |          4 |          0 |          0 |          4 |
| services\auth\src\routes                                                                |          1 |          9 |          0 |          2 |         11 |
| services\auth\src\utils                                                                 |          5 |        199 |          0 |          3 |        202 |
| services\job                                                                            |         30 |      3,975 |          0 |         72 |      4,047 |
| services\job (Files)                                                                    |          3 |      2,295 |          0 |          2 |      2,297 |
| services\job\dist                                                                       |         14 |        854 |          0 |         14 |        868 |
| services\job\dist (Files)                                                               |          3 |        143 |          0 |          3 |        146 |
| services\job\dist\controllers                                                           |          1 |        274 |          0 |          1 |        275 |
| services\job\dist\middleware                                                            |          2 |         47 |          0 |          2 |         49 |
| services\job\dist\routes                                                                |          1 |         16 |          0 |          1 |         17 |
